date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:46:54	23424/23424	---M--	200	added ('OK')	font/woff	date:Wed,%2018%20Apr%202018%2022:13:06%20GMT	http://sbtechnosoft.com/foundation/assets/bootstrap/fonts/glyphicons-halflings-regular.woff	C:/Users/Awaab/Documents/clones/toyin/sbtechnosoft.com/foundation/assets/bootstrap/fonts/glyphicons-halflings-regular.woff	(from http://sbtechnosoft.com/foundation/assets/bootstrap/css/bootstrap.min.css)
15:46:54	88643/88643	---M--	200	added ('OK')	application/javascript	date:Wed,%2018%20Apr%202018%2022:13:34%20GMT	http://sbtechnosoft.com/foundation/assets/owl-carousel/js/owl.carousel.js	C:/Users/Awaab/Documents/clones/toyin/sbtechnosoft.com/foundation/assets/owl-carousel/js/owl.carousel.js	(from http://sbtechnosoft.com/foundation/)
15:46:54	109025/109025	---M--	200	added ('OK')	image/svg+xml	date:Wed,%2018%20Apr%202018%2022:13:10%20GMT	http://sbtechnosoft.com/foundation/assets/bootstrap/fonts/glyphicons-halflings-regular.svg	C:/Users/Awaab/Documents/clones/toyin/sbtechnosoft.com/foundation/assets/bootstrap/fonts/glyphicons-halflings-regular.svg	(from http://sbtechnosoft.com/foundation/assets/bootstrap/css/bootstrap.min.css)
15:46:55	45404/45404	---M--	200	added ('OK')	font/ttf	date:Wed,%2018%20Apr%202018%2022:13:08%20GMT	http://sbtechnosoft.com/foundation/assets/bootstrap/fonts/glyphicons-halflings-regular.ttf	C:/Users/Awaab/Documents/clones/toyin/sbtechnosoft.com/foundation/assets/bootstrap/fonts/glyphicons-halflings-regular.ttf	(from http://sbtechnosoft.com/foundation/assets/bootstrap/css/bootstrap.min.css)
15:47:08	77160/77160	---M--	200	added ('OK')	font/woff2	date:Wed,%2018%20Apr%202018%2022:13:16%20GMT	http://sbtechnosoft.com/foundation/assets/font-awesome/fonts/fontawesome-webfont.woff2?v=4.7.0	C:/Users/Awaab/Documents/clones/toyin/sbtechnosoft.com/foundation/assets/font-awesome/fonts/fontawesome-webfont3e6e.woff2	(from http://sbtechnosoft.com/foundation/assets/font-awesome/css/font-awesome.min.css)
15:47:13	98024/98024	---M--	200	added ('OK')	font/woff	date:Wed,%2018%20Apr%202018%2022:13:20%20GMT	http://sbtechnosoft.com/foundation/assets/font-awesome/fonts/fontawesome-webfont.woff?v=4.7.0	C:/Users/Awaab/Documents/clones/toyin/sbtechnosoft.com/foundation/assets/font-awesome/fonts/fontawesome-webfont3e6e.woff	(from http://sbtechnosoft.com/foundation/assets/font-awesome/css/font-awesome.min.css)
15:47:18	447050/447050	---M--	200	added ('OK')	image/svg+xml	date:Wed,%2018%20Apr%202018%2022:13:22%20GMT	http://sbtechnosoft.com/foundation/assets/font-awesome/fonts/fontawesome-webfont.svg?v=4.7.0	C:/Users/Awaab/Documents/clones/toyin/sbtechnosoft.com/foundation/assets/font-awesome/fonts/fontawesome-webfont3e6e.svg	(from http://sbtechnosoft.com/foundation/assets/font-awesome/css/font-awesome.min.css)
15:47:19	315/315	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2004%20Feb%202023%2014:47:18%20GMT	http://sbtechnosoft.com/foundation/assets/owl-carousel/css/owl.video.play.png	C:/Users/Awaab/Documents/clones/toyin/sbtechnosoft.com/foundation/assets/owl-carousel/css/owl.video.play.40.delayed	(from http://sbtechnosoft.com/foundation/assets/owl-carousel/css/owl.carousel.css)
15:47:19	1579/1579	---M--	200	added ('OK')	image/png	date:Wed,%2018%20Apr%202018%2022:13:40%20GMT	http://sbtechnosoft.com/foundation/images/title-icon.png	C:/Users/Awaab/Documents/clones/toyin/sbtechnosoft.com/foundation/images/title-icon.png	(from http://sbtechnosoft.com/foundation/css/style.css)
15:47:20	3992/3992	---M--	200	added ('OK')	image/gif	date:Wed,%2018%20Apr%202018%2022:13:46%20GMT	http://sbtechnosoft.com/foundation/images/loader.gif	C:/Users/Awaab/Documents/clones/toyin/sbtechnosoft.com/foundation/images/loader.gif	(from http://sbtechnosoft.com/foundation/css/style.css)
15:47:21	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2018%20Apr%202018%2022:13:24%20GMT	http://sbtechnosoft.com/foundation/assets/font-awesome/fonts/fontawesome-webfont.eot?v=4.7.0	C:/Users/Awaab/Documents/clones/toyin/sbtechnosoft.com/foundation/assets/font-awesome/fonts/fontawesome-webfont3e6e.eot	(from http://sbtechnosoft.com/foundation/assets/font-awesome/css/font-awesome.min.css)
15:47:21	3330/3330	---M--	200	added ('OK')	image/png	date:Wed,%2018%20Apr%202018%2022:14:00%20GMT	http://sbtechnosoft.com/foundation/images/free-consulting-bg.png	C:/Users/Awaab/Documents/clones/toyin/sbtechnosoft.com/foundation/images/free-consulting-bg.png	(from http://sbtechnosoft.com/foundation/css/style.css)
15:47:22	1537/1537	---M--	200	added ('OK')	image/png	date:Wed,%2018%20Apr%202018%2022:13:40%20GMT	http://sbtechnosoft.com/foundation/images/title-icon-light.png	C:/Users/Awaab/Documents/clones/toyin/sbtechnosoft.com/foundation/images/title-icon-light.png	(from http://sbtechnosoft.com/foundation/css/style.css)
15:47:22	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2018%20Apr%202018%2022:13:24%20GMT	http://sbtechnosoft.com/foundation/assets/font-awesome/fonts/fontawesome-webfont.eot?	C:/Users/Awaab/Documents/clones/toyin/sbtechnosoft.com/foundation/assets/font-awesome/fonts/fontawesome-webfontd41d.eot	(from http://sbtechnosoft.com/foundation/assets/font-awesome/css/font-awesome.min.css)
15:47:37	165548/165548	---M--	200	added ('OK')	font/ttf	date:Wed,%2018%20Apr%202018%2022:13:18%20GMT	http://sbtechnosoft.com/foundation/assets/font-awesome/fonts/fontawesome-webfont.ttf?v=4.7.0	C:/Users/Awaab/Documents/clones/toyin/sbtechnosoft.com/foundation/assets/font-awesome/fonts/fontawesome-webfont3e6e.ttf	(from http://sbtechnosoft.com/foundation/assets/font-awesome/css/font-awesome.min.css)
15:48:15	334237/334237	---M--	200	added ('OK')	image/jpeg	date:Wed,%2018%20Apr%202018%2022:14:08%20GMT	http://sbtechnosoft.com/foundation/images/experience-bg.jpg	C:/Users/Awaab/Documents/clones/toyin/sbtechnosoft.com/foundation/images/experience-bg.jpg	(from http://sbtechnosoft.com/foundation/css/style.css)
15:48:17	3350/3350	---M--	200	added ('OK')	image/png	date:Wed,%2018%20Apr%202018%2022:14:00%20GMT	http://sbtechnosoft.com/foundation/images/footer-bg.png	C:/Users/Awaab/Documents/clones/toyin/sbtechnosoft.com/foundation/images/footer-bg.png	(from http://sbtechnosoft.com/foundation/css/style.css)
15:49:38	845632/845632	---M--	200	added ('OK')	image/png	date:Wed,%2018%20Apr%202018%2022:14:26%20GMT	http://sbtechnosoft.com/foundation/images/breadcrumb-bg.png	C:/Users/Awaab/Documents/clones/toyin/sbtechnosoft.com/foundation/images/breadcrumb-bg.png	(from http://sbtechnosoft.com/foundation/css/style.css)
15:49:40	133118/133118	---M--	200	added ('OK')	image/jpeg	date:Wed,%2018%20Apr%202018%2022:14:00%20GMT	http://sbtechnosoft.com/foundation/images/gallery-img1.jpg	C:/Users/Awaab/Documents/clones/toyin/sbtechnosoft.com/foundation/images/gallery-img1.jpg	(from http://sbtechnosoft.com/foundation/gallery.html)
15:49:57	111100/111100	---M--	200	added ('OK')	image/jpeg	date:Wed,%2018%20Apr%202018%2022:13:58%20GMT	http://sbtechnosoft.com/foundation/images/gallery-img2.jpg	C:/Users/Awaab/Documents/clones/toyin/sbtechnosoft.com/foundation/images/gallery-img2.jpg	(from http://sbtechnosoft.com/foundation/gallery.html)
15:50:14	205996/205996	---M--	200	added ('OK')	image/jpeg	date:Wed,%2018%20Apr%202018%2022:13:56%20GMT	http://sbtechnosoft.com/foundation/images/gallery-img3.jpg	C:/Users/Awaab/Documents/clones/toyin/sbtechnosoft.com/foundation/images/gallery-img3.jpg	(from http://sbtechnosoft.com/foundation/gallery.html)
15:50:21	146555/146555	---M--	200	added ('OK')	image/jpeg	date:Wed,%2018%20Apr%202018%2022:13:54%20GMT	http://sbtechnosoft.com/foundation/images/gallery-img4.jpg	C:/Users/Awaab/Documents/clones/toyin/sbtechnosoft.com/foundation/images/gallery-img4.jpg	(from http://sbtechnosoft.com/foundation/gallery.html)
15:50:34	120389/120389	---M--	200	added ('OK')	image/jpeg	date:Wed,%2018%20Apr%202018%2022:13:56%20GMT	http://sbtechnosoft.com/foundation/images/gallery-img5.jpg	C:/Users/Awaab/Documents/clones/toyin/sbtechnosoft.com/foundation/images/gallery-img5.jpg	(from http://sbtechnosoft.com/foundation/gallery.html)
15:50:50	178982/178982	---M--	200	added ('OK')	image/jpeg	date:Wed,%2018%20Apr%202018%2022:13:50%20GMT	http://sbtechnosoft.com/foundation/images/gallery-img6.jpg	C:/Users/Awaab/Documents/clones/toyin/sbtechnosoft.com/foundation/images/gallery-img6.jpg	(from http://sbtechnosoft.com/foundation/gallery.html)
15:51:06	198494/198494	---M--	200	added ('OK')	image/jpeg	date:Wed,%2018%20Apr%202018%2022:13:48%20GMT	http://sbtechnosoft.com/foundation/images/gallery-img8.jpg	C:/Users/Awaab/Documents/clones/toyin/sbtechnosoft.com/foundation/images/gallery-img8.jpg	(from http://sbtechnosoft.com/foundation/gallery.html)
15:51:09	3181/3181	---M--	200	added ('OK')	application/javascript	date:Wed,%2018%20Apr%202018%2022:13:26%20GMT	http://sbtechnosoft.com/foundation/assets/jquery/jquery.plugin.min.js	C:/Users/Awaab/Documents/clones/toyin/sbtechnosoft.com/foundation/assets/jquery/jquery.plugin.min.js	(from http://sbtechnosoft.com/foundation/coming-soon.html)
